127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.020000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/images/files_toggle.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-28 16:03:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 16:03:52, GET, /admin/default/edit/lib/controllers/default.py, HTTP/1.1, 200, 0.128000
127.0.0.1, 2016-02-28 16:03:52, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.184000
127.0.0.1, 2016-02-28 16:03:52, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.264000
127.0.0.1, 2016-02-28 16:03:52, GET, /admin/static/_2.13.4/images/save_icon.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-28 16:03:52, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.256000
127.0.0.1, 2016-02-28 16:03:52, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.765000
127.0.0.1, 2016-02-28 16:03:53, GET, /lib/appadmin/hooks, HTTP/1.1, 200, 1.358000
127.0.0.1, 2016-02-28 16:04:30, POST, /admin/default/edit/lib/controllers/default.py, HTTP/1.1, 200, 0.056000
127.0.0.1, 2016-02-28 16:04:34, GET, /admin/default/site, HTTP/1.1, 200, 0.064000
127.0.0.1, 2016-02-28 16:04:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 16:04:41, GET, /admin/default/design/lib, HTTP/1.1, 200, 0.160000
127.0.0.1, 2016-02-28 16:04:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 16:04:43, GET, /admin/default/peek/lib/models/db.py, HTTP/1.1, 200, 0.044000
127.0.0.1, 2016-02-28 16:04:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 16:04:45, GET, /admin/default/design/lib, HTTP/1.1, 200, 0.108000
127.0.0.1, 2016-02-28 16:04:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 16:05:08, GET, /admin/defaultlib, HTTP/1.1, 404, 0.016000
127.0.0.1, 2016-02-28 16:05:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 16:05:12, GET, /admin/default/lib, HTTP/1.1, 404, 0.020000
127.0.0.1, 2016-02-28 16:05:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 16:05:22, GET, //lib, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 16:05:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
